ID,Nombre,Vecinos,Costo,Edificio,Nivel
M1,Entrada Malaga,M2,,Malaga ,0
M2,Pasillo M1,M1-M3-M11,,Malaga,0
M3,Pasillo M2,M2-M4,,Malaga,0
M4,Pasillo M3,M3-M5-M10,,Malaga,0
M5,Escaleras Padel,M4-M6-M7,,Malaga ,0
M6,Cancha de Padel ,M5,,Malaga,1
M7,Gym,M5-M8-M10,,Malaga,0
M8,Pasillo M4,M7-M9,,Malaga,0
M9,Estacionamiento Malaga ,M8,,Malaga ,0
M10,Pasillo M5,M4-M7-M12,,Malaga,0
M11,Pasillo M6,M2-M12,,Malaga,0
M12,Pasillo M7,M10-M11-M13-M15,,Malaga,0
M13,Area Comun Malaga ,M12-M14,,Malaga ,0
M14,Maquinaria,M13,,Malaga,0
M15,Entrada Edificio Malaga,M12-M16-M17,,Malaga,0
M16,Baño Damas,M15,,Malaga,0
M17,Escaleras primer piso,M15-M18,,Malaga ,0
M18,Taller de Maderas,M17-M19,,Malaga,0
M19,Laboratorio Termica y Fluidos,M18,,Malaga,0
M20,Entrada primer piso,M19-M21-M22,,Malaga,1
M21,Baño Hombres,M20,,Malaga ,1
M22,Pasillo M8,M20-M23,,Malaga,1
M23,Lab Termofluidos,M22-M24,,Malaga,1
M24,Pasillo M9,M23-M25-M26,,Malaga,1
M25,Zona de Estudio,M24,,Malaga ,1
M26,MLG4,M24-M27,,Malaga,1
M27,MDI Alberto Gomez,M26-M28,,Malaga,1
M28,Sala de juntas,M27-M29,,Malaga,1
M29,Impresión 3D,M28,,Malaga ,1
